"","stand_core_depth_treat","germination_n_per_tray","stand","site","soilcore","depth_name","treatment","stand_core","stand_core_depth","nonnative_grass","native_shrub","subsample_g","seeds_per_g","seeds_per_g_log"
"141","INT1_1_surface_ovenchar",15,"intact","INT1","1","surface","ovenchar","INT1_1","INT1_1_surface",0.243902439,0.707317073,164.0625,0.0914285714285714,-2.39219725168373
"142","INT1_2_deep_charate",10,"intact","INT1","2","deep","charate","INT1_2","INT1_2_deep",0.243902439,0.707317073,371.875,0.026890756302521,-3.61597268330585
"143","INT1_2_deep_control",7,"intact","INT1","2","deep","control","INT1_2","INT1_2_deep",0.243902439,0.707317073,371.875,0.0188235294117647,-3.97264762724458
"144","INT1_2_deep_oven",8,"intact","INT1","2","deep","oven","INT1_2","INT1_2_deep",0.243902439,0.707317073,371.875,0.0215126050420168,-3.83911623462006
"145","INT1_2_deep_ovenchar",7,"intact","INT1","2","deep","ovenchar","INT1_2","INT1_2_deep",0.243902439,0.707317073,371.875,0.0188235294117647,-3.97264762724458
"146","INT1_2_surface_charate",15,"intact","INT1","2","surface","charate","INT1_2","INT1_2_surface",0.243902439,0.707317073,218.75,0.0685714285714286,-2.67987932413551
"147","INT1_2_surface_control",17,"intact","INT1","2","surface","control","INT1_2","INT1_2_surface",0.243902439,0.707317073,218.75,0.0777142857142857,-2.55471618118151
"148","INT1_2_surface_oven",21,"intact","INT1","2","surface","oven","INT1_2","INT1_2_surface",0.243902439,0.707317073,218.75,0.096,-2.3434070875143
"149","INT1_2_surface_ovenchar",13,"intact","INT1","2","surface","ovenchar","INT1_2","INT1_2_surface",0.243902439,0.707317073,218.75,0.0594285714285714,-2.82298016777619
"150","INT1_3_deep_charate",5,"intact","INT1","3","deep","charate","INT1_3","INT1_3_deep",0.243902439,0.707317073,371.875,0.0134453781512605,-4.30911986386579
"151","INT1_3_deep_control",6,"intact","INT1","3","deep","control","INT1_3","INT1_3_deep",0.243902439,0.707317073,371.875,0.0161344537815126,-4.12679830707184
"152","INT1_3_deep_oven",10,"intact","INT1","3","deep","oven","INT1_3","INT1_3_deep",0.243902439,0.707317073,371.875,0.026890756302521,-3.61597268330585
"153","INT1_3_deep_ovenchar",13,"intact","INT1","3","deep","ovenchar","INT1_3","INT1_3_deep",0.243902439,0.707317073,371.875,0.0349579831932773,-3.35360841883836
"154","INT1_3_surface_charate",17,"intact","INT1","3","surface","charate","INT1_3","INT1_3_surface",0.243902439,0.707317073,218.75,0.0777142857142857,-2.55471618118151
"155","INT1_3_surface_control",7,"intact","INT1","3","surface","control","INT1_3","INT1_3_surface",0.243902439,0.707317073,218.75,0.032,-3.44201937618241
